County,popBlack,popWhite,popTotal,pctBlack,distance,YesVotes,NumVotes
Carthage,841,599,1440,58.4,17,61,110
Cederville,1774,146,1920,92.4,7,0,15
Five Mile Creek,140,626,766,18.28,15,4,42
Greensboro,1425,975,2400,59.38,0,1790,1804
Harrison,443,355,798,55.51,7,0,15
Havana,841,599,1440,58.4,12,16,68
Hollow Square,2802,558,3360,83.39,2,31,42
Macon,3239,187,3426,94.54,9,87,154
Newbern,2125,275,2400,88.54,0,107,118
New Prospect,988,292,1280,77.19,4,90,102
Pickens Mill,,,0,,3,64,66
Warren's Store,186,294,480,38.75,7,6,23